text,frequency
^ㅎ,2
10,1
100000,1
11,2
15000,1
1M도,1
1회용품,2
2049,1
26,1
27,1
39,1
3명이서,1
800,1
FE0F,1
IBIS,1
vacuum,1
가격,1
가격대,1
가구,3
가능,2
가서,1
가성,1
가운,4
가운데,1
개선,1
객실,10
걱정,1
건물,2
건조하더라구요^ㅎ^ㅎ,1
걸레,1
곁눈질,1
고객,4
고민,1
골목,1
공간,1
관광,1
교체,1
구매,4
구매품목,1
구비,4
구석,2
구조,2
그가격내고,1
그거,1
그것,1
그렇구,1
그릇,1
그릇치울때도,1
근처,2
금연,1
기대,1
기둥,1
기본,2
기분,1
나중에올라와서야,1
날씨,1
남자,1
내부,2
냄새,8
냉방,1
높이,1
놔버린상태에서,1
눅눅,1
다른곳가서,1
다리미,1
담걸렸어요,1
당연,1
당황,3
대형,1
대화,2
데스크,2
도로,1
도로변,1
동안,2
됐던점이,1
들이,4
때문,2
떨어지다보니,1
뚜껑,1
라고한마듸,1
로비,4
리필,1
린스,4
마사지,1
마이너스,1
만족,1
만큼,1
매니,2
머리숱이적은사람을위해,1
머리카락,3
메뉴,2
메모,1
모습,1
모텔방,1
목욕가운,1
무료,1
문닫기는,1
문제,1
문틀,1
물건,2
뭘입고,1
미터,1
바닥,5
바디,1
바디워시,1
반바지,1
반팔,1
방문,1
방안,1
방음,4
방침,1
방해,2
배관,1
배정,1
버스,1
벌크,1
벽면,1
보관,1
복도,1
복잡,1
부스,5
부실,2
부족,1
불구,1
불친절,1
불쾌,1
불편,7
불편함,1
뷔페,1
뷰도,1
브러쉬,2
비냐,1
비누,1
비용받고,1
비즈니스,2
비치,4
비품,1
사람,4
사람들,1
사소,1
사용,7
사용자,1
사우나,1
사이,1
산것또한,1
상태,1
새것,1
새벽,2
생각,7
샤워,8
샤워실,3
샴푸,9
샴푸린스썼네요,1
서비스,2
선반,1
선택,1
선풍기,1
성향,1
세면대,1
세면도구,1
소리,6
소변,1
소음,2
소재,1
수건,1
수납,1
수면,1
수압,1
수준,1
숙면,1
숙박,1
숙소,2
스펀지,1
습한감이있었다,1
시간,2
시끄럽긴했어요,1
시설,2
시스템,1
시원,1
시트,3
시행,1
식사,2
신경,1
실내,3
실내온도,1
실례,1
심각,1
써빙,1
아이들,1
아침,6
안국역,1
안드로이드,1
애석,1
약간,1
어떻게뜯는지도,1
어메니티,5
얼룩,1
엄마,1
에나,1
에어컨,4
에코,4
여러번,1
여성,1
여자,1
여행,1
여행객,1
역간,1
예민,1
예약,1
예의,1
오래된거같아요,1
오죽,1
온도,1
와이파이,1
외국,1
외부,1
요금,1
욕실,7
욕조,1
용품,1
우리집,1
위치,3
유로,1
유료,1
유리,1
유쾌,1
음식,1
응대,1
의도,1
의식,1
의심,3
의자,1
이때,1
이비스,1
이비스강남에,1
이비스에,1
이야기,1
이용,3
이해,1
인거,1
인사,1
인테리어,2
일원,1
일회용,1
일회용품,6
일회용품이없어사러나가야하는불편함,1
입장,1
있는걸로,1
있으세요,1
자고,1
자질구레,1
자판기,1
작동,3
잘안돼요,1
잠옷,2
잡치기,1
장소,1
장점,1
저녁,2
저렴,1
저희,1
전부,1
전체,1
정도,5
정보,1
정산,1
정수기,1
정신,1
제공,4
제때,1
조명,1
조식,7
조절,1
좁긴했지만,1
종로,1
종류,1
좋은기억으로,1
좋은날,1
주말,1
주변,1
주정차,1
주차,1
주차료,1
주차료15000받는곳,1
주차비,3
주차장,1
중국인,1
중앙,1
지하,1
지하철,1
지향,1
직업,1
직원,4
진심,1
쬐금,1
차단,1
채워달랬더니,1
처리,1
처음,2
청결,3
청결도,2
청결상태,1
청결히해,1
청소,4
체인지,1
최악,1
최악이었네요ㅡ,1
출장,1
충전,4
충전기,3
치솔2천원,1
치약,3
친구,1
친절,2
침구,2
침대,3
침실,1
칫솔,2
카펫,2
캠페인,1
커튼,1
커피포트,1
케이블,2
쾅쾅소리가,1
쿵쿵거리,1
클렌징용,1
타월,1
태도,1
택시,2
퇴근,2
퉁명,1
트리플,1
티백,1
티셔츠,1
편리,1
편안,1
포함,1
포함이안된다는점,1
프런트,1
플라스틱,1
필요,5
하나,4
하나로합쳐진,1
하니,1
하려,1
하루종일,1
하면,1
하수구,1
하시,1
하신,1
하지,9
하진,3
한거,1
한데,1
한복판,1
한일,1
해서,2
해외,1
해지,1
협소,2
호텔,20
화장실,14
환경,2
환경캠페인,1
환기,1
휴대폰,3
휴식,1
흡연,1
힘듦,1
ㅡㅡ,1
