text,frequency
25,1
5개정도밖에,1
5천원정도,1
and,1
computer,1
felt,1
ibis,1
little,1
monitor,1
room,1
size,1
SUV,1
tight,1
tiny,1
TV,3
was,1
가격,1
가격대,1
가량,1
가습기,1
가운,1
갈아놓은맛,1
감기기운,1
감치,1
같은거였던점,1
같은경우,1
개선할점이,1
객실,6
거울,1
건물,1
건조,1
걸레,4
걸진,1
경우,1
계란,1
고층,1
곰팡이,3
공사,1
공중파,1
관광객,1
구매,1
구멍,2
구비,1
군데,2
기대안했지만,1
기대이하,1
기본,1
기본적,1
기분,1
까지,1
꾸리,1
꿉꿉한,1
난점,1
남자,1
났던거,1
낭패,1
내부,2
냄새,13
냉장고,1
넓진,1
누구,1
누룰려면,1
다르다는점,1
다른룸,1
다음,1
단체,1
대박,1
대응,1
대처,1
더블침대,1
덜마른,1
도움,1
돌쟁이,1
동생,1
동안,1
들이,2
등등,1
따그닥소리,1
때문,2
로비,1
룸체인지,1
리필,1
린스,1
립스틱,1
마지막,1
만족,1
만족스럽진,1
많았어요ㅠㅠ,1
말소리,2
말하,3
맛이없었습니다,1
맥심,1
머리카락,3
머물동안,1
면도,1
모니터,1
모텔,1
문제,4
물기,1
물냄새,1
미닫이문,1
바디워시,2
바람,1
바로앞이,1
바퀴,1
반대편,1
받침대,1
밤새,1
방문,1
방분,1
방안,1
방역,1
방음,8
배정,1
버튼,1
벌컥열림,1
베개,1
변기,1
복도,2
부분,2
부족,3
부족햇다고생각합니다,1
부킹,1
부탁,1
불만,1
불빛,1
불쾌,2
불편,8
불편함,2
뷰는,1
뷰였습니다,1
브랜드,1
비누,1
비슷,1
비지니스,1
비해,1
사실,2
사용,2
사이즈,1
사이트,1
사진,1
상황,1
새벽,1
생각,5
생브로콜리,1
샤워,2
샤워커튼,4
샴페인,1
샴푸,2
서울,1
선택,1
세면대,1
센서등,1
소독,1
소리,2
소리까지ㅜㅜ,1
소음,2
소음이ㅜㅜ잠을,1
소파,1
수건,3
수압,5
수준,2
스위치,2
스프,2
슬리퍼,1
습한냄새가,1
시간,2
시설,1
시위,1
신경,3
신경써달라고,1
실내,1
심각,1
싱글,2
아까,1
아니다,1
아쉬웟습니다ㅜㅜ,1
아웃,1
아이들,1
아침,1
안움직여도,1
안좋은거,1
안좋지도,1
암막커튼,1
액체,1
양쪽,1
얕은가봐요,1
어메니티,4
어수선,1
어의,1
엉망,1
엘레베이터,1
엘리베이터,1
여직원,1
여행객,1
역시,1
였음,1
옆방,2
예민,1
예약,1
예전,1
오믈렛,1
온도,1
와이파이,1
와인잔,1
완벽,1
외국,1
요청사항,1
욕실,4
욕조,2
용기,1
울정,1
위급,1
위아래,1
위치,4
유의,1
의자,1
이내,1
이동,1
이동하,1
이른아칭까지,1
이불,1
이상,1
이야기,1
이어,1
이외,1
이용,1
이용자,1
이유,1
인사,1
일치,1
일회용,4
입구,1
있는곳인데도,1
자국,1
자는거,1
작동,1
재사용,1
저녁,2
전기,1
전달,1
전등,2
전력,1
전반적,1
전체,2
정도,3
제공,2
제설작업,1
조식,5
종류,1
좋았을거,2
좋은거,1
좋진,1
주변,1
주었으면합니다,1
주저,1
주차,1
주차료,1
주차비,1
주차요원,1
주차장,2
중간,1
중국인,1
중요,1
중이,1
쥬스,1
즉석,1
지하,1
직원,3
찜찜,1
차단,1
차량을1시간,1
채널,1
책상,1
책자,1
챙기길,1
청결,1
청소,5
체크,1
체크아웃,5
체크인,2
추가정산하는시스템은,1
춥다는점,1
치약,3
침구,1
침대,9
칫솔,3
카운터,1
카페,1
커피,1
커피빈,1
컴플레인,1
케챱,1
켜지고ㅠㅠ,1
콘센트,2
쿵쿵대는,1
퀄리티,1
퀘퀘한,1
크진않았던,1
탁상,1
테이블,1
투숙객,1
투어,1
특별,1
티비,1
파스,1
펌핑기가,1
편안,1
평가,1
표면,1
푸근,1
프런트,1
프론트,1
피곤,1
필요,2
하기,2
하나,4
하려,1
하면,1
하지,1
하진,1
한번씩,1
한복판,1
할거,1
할정도로^ㅋ^ㅋ아침,1
해서,4
해주,1
핸드,1
핸드워시랑,1
향수,1
호텔,13
호흡,1
화장실,8
확인,2
환기,2
훌륭,1
ㅜㅜ,1
