text,frequency
^ㅋ^ㅋ^ㅋ,1
^ㅎ^ㅎ,1
19,2
200m근처,1
23,1
25,1
30,1
clean,1
ibc,1
up,1
가격,2
가격대,2
가격대비가성비가아주좋았습니다,1
가능,2
감사,1
객실,5
거실,1
건물,2
계란,1
계속,1
고층,1
공간,2
공개,1
공기,1
구매,3
구비,1
구입,1
규모,1
그것,1
근처,2
글보,1
기분,1
까운,1
깔끔,8
깨끗,10
깨끗한침대,1
꺠끗해서,1
꿀잠,1
나름,2
난방,2
남산,1
남자직원왔는데,1
냄새,1
너우,1
눕는순간,1
다닐땐,1
다수,1
다운,1
다음번,1
다좋았네요,1
다좋았어요,1
대비,1
더블룸,1
더우,1
덥지,1
데스크,1
도편,1
동대문,1
될꺼라고하고,1
들이,1
룸컨디션,1
마음,1
만원,1
만족,7
말씀안드려도,1
매니,1
매트리스,1
먹긴했지만,1
모닝빵,1
무료,1
무엇,3
박시,1
반납,1
방음,1
방이없는것처럼하는데,1
버스,1
베리,1
복도,3
볼일,1
부족,1
부페,1
불고기,1
비슷,1
비즈니스,1
사람,3
사진,1
상상,1
상쾌,1
생각,1
서류,1
서비스,2
설정,1
설정해놔도,1
세련,2
세탁실,1
소리,1
숙박,1
숙박할계획있습니다,1
스위트룸,5
스크램블,1
스탠다드를,1
시몬스,1
시설,8
시원,1
시작,1
식빵,1
식사,1
신설동역,1
신축,1
싶을정도,1
아침,4
안넘어가서,1
안락,3
얘기,2
어디꺼,1
업그래이드,1
업그레이드,3
에어컨,1
엘리베이터,1
예약,3
와서는30도,1
욕실,1
용이,1
우수,1
위치,4
은거,1
음료,1
이따위,1
이마트,3
이번,1
이불,1
이상,1
이용,3
이튿날,1
인접,1
인테리어,2
자전거,1
자체,1
잘쉬다,1
잠자리,3
장보기,1
장인,1
저렴,1
적당,1
전날,1
전망,1
전문,1
전반적,1
전체,3
전화,1
정거장,1
정류장,1
제품,1
조깅,1
조식,7
조용,5
좋았습니다^ㅋ^ㅋ,1
좋은시간보내고,1
주변,4
지원,1
지하철,3
직원,7
진짜,1
처리,1
청결,6
청결상태만족ㆍ직원들친절,1
청계천,1
청소,1
쳥결했어요,1
최고,1
최신,1
춥다했네요,1
치약,1
친구,2
친절,8
침구,6
침대,9
카운터,1
커튼,1
쾌적,5
쾌척,1
트리플,1
트리플룸이용했는데,1
티비,1
편리,2
편안,3
편의시설,1
편의점,1
편의점등,1
편했당,1
푹신,4
프론트,2
필요,2
핑요사항,1
하거,1
하구,1
하나,1
하니,1
하루,1
하면,3
하시,2
하지,1
할거,1
해서,6
향기,1
향이,1
형편,2
호텔,7
화장실,1
후기,2
ㅠㅠ,2
