text,frequency
11,1
302,1
tv,1
가격,3
가격대,2
가나,1
가성비,1
가오,1
갑갑,1
개선,1
걱정,2
건물,2
겠습니다,1
경우,1
경적소리,1
경찰서이긴한데,1
계단,6
고시원,1
고장이,1
골목,2
곰팡이,1
곰팡잌^ㅋ^ㅋ^ㅋ^ㅋ^ㅋ,1
공영주차장,1
교체,2
구비,1
구석,2
구식,1
그부분만,1
근처,1
기다려이ㅜ했어요,1
까칠,1
깔끔,1
깨끗,3
꼬아놔서,1
끔찍,1
나온거보다,1
난방기,1
내부,2
냄새,11
냉장고,3
너무,1
높은층은,1
놓인곳,1
놨어요,1
느낌,1
능이,1
다섯,1
다쓰,1
단점,1
답답한느낌이였고,1
당황,2
대로변,1
대체,1
도로,1
동안,1
드라이기,2
들어가야되요,1
따뜻,1
때문,2
떨어질까봐,1
뚜껑이,1
리모콘,1
린스,1
마지막,1
만족,1
매트리스,1
머리카락,1
멀티탭,1
면적,1
몃발자국,1
못들어감,1
무릎깨졌어요ㅜㅜ위험함,1
문고리,1
문을닫아났네요,1
문의,1
문제,1
뭔가,1
바닥,3
바디워시,2
바디클렌저는,1
바람,1
반면,1
받은걸로,1
밟는부분이,1
방끼리는소음차단이,1
방문,1
방문잠구는것도,1
방바닥,1
방안,2
방음,3
배수,1
배수구,1
버겁네요,1
베개,1
베드,1
변기,1
보단,1
복도,1
본인,1
부분,1
부족,1
분진,1
불결,1
불안,1
불쾌,1
불편,6
불편함,1
비상시,1
비지떡,1
사물함,1
사용,1
사진,1
상관,1
상태,1
새벽,1
새집,1
생각,4
생활용품,1
샤워,2
샴푸,2
선택,1
세면,1
세면대,5
세면도구,1
세탁,2
센서등,1
셋탑박스,1
소리,2
속담,1
손잡이,1
수건,1
수리,1
숙박,3
숙소,4
시기,1
시설,1
시트,5
시트랑,1
실내,1
싱글룸,1
아닌거같았어요,1
아무,1
아쉬움,2
아이,1
안갈아서,1
안걷지만,1
안나왔어요,1
안내,1
안빠져요,1
안빠져요ㅜ,1
안빠지는점은,1
안좋음,1
안줘서,1
안채워져,1
애매,1
어어컨에,1
언제,1
업소,1
엘레베이터,4
엘리베이터,3
여름철,1
여성,1
여자,1
여행,1
연락처,1
열쇠,1
옆방,1
옥상,1
온도차,1
옷장,1
왜그리,1
외부,1
외진,1
요청,4
욕실,3
원인,1
위생상태,2
위치,2
음식,2
이것저것,1
이불,2
이상,1
이외,2
이용,1
이용객,1
이전,1
이후,2
인근,1
인식,1
인접,1
인테리어,1
일반,1
있었으면하는,1
작동,1
작음,1
잘시켜서,1
재사용,1
저렴,2
적응,1
적절,1
전망,1
전반적,1
정도,2
정리,2
정수기,1
제공,1
제꺼,1
조식,3
조치,1
좀그랬어요,1
주변,1
주차,1
준비,1
지저분,1
진짜,1
쪽잠,1
창문,2
철문,1
첫날,3
청결,1
청결도,1
청계천,1
청소,5
청소상태,1
체크,1
체크인,1
최고,1
최악,1
추천,1
침구,1
침구류,2
침대,12
침실,1
카운터,2
컨디션,1
키친,1
통풍,1
퇴실,1
투숙,1
트윈,1
특별,1
편의점서,1
푹신,1
프론트,1
필요,2
하나,2
하수구,6
하시,2
하지,4
학원,1
한국,1
한데,3
해서,2
현관,1
현대식건물,1
협소,1
호스,1
호텔,2
혼자,1
화장실,13
환기,1
훌륭,2
휴지,1
ㅜㅜ,1
ㅜㅠ,1
