text,frequency
10,1
16,1
2000,1
22,1
30,1
317,1
318,1
4인용,1
55000,1
5시반에,1
77000,1
facility,1
가격,5
가격대,2
가능,1
감상,1
개조,1
거기,1
거미줄,1
건물,2
검사,1
결제,1
경우,1
계좌이체하기전에ㅡ현금영수증,1
고싶,1
곰팡이,1
과정,1
관리,1
구석,1
구요,1
구조,1
그것,1
그치,1
근처,2
금액,1
기본,1
기분,1
깔끔,1
깨끗,3
꼬슬꼬슬하지,1
꿉꿉하고,1
나고ㅜ,1
냄새,11
놀러온거아,1
달라,1
달랑한장보내고,1
답답,1
당당,1
당일,1
대중교통,2
도구,1
돈받고,1
되질,1
된다는점이,1
두루마리,1
레지던스,1
룸클린,1
마이크로소프트,1
마지막,2
매력,1
맨발,1
모텔,1
목적,1
못자고,2
못하게생긴,1
못했슴,1
무시,1
무엇,1
문제있는거,1
물값,1
바람,1
바로앞에,1
밤새,1
방문객,1
방석,1
방안,2
방음,10
방정,2
번거,1
번째,1
변기,1
병원,2
보가,1
보고,1
보이,1
보주,1
복도,2
복층,2
부띠크,1
부족,1
부킹닷컴,1
부킹닷컴에서ㅜ예약해서ㅜ갔는데,1
불가,1
불편,6
불편함,1
불편했습니다ㅜ,1
블라인드,1
비가와서그런지,1
비싼거,1
비양심적,2
비용,2
사용,1
사이즈,1
사진,4
상가,1
상대,1
상태,1
상품,2
생각,1
샤워,1
서비스,3
서울,1
서울대병원,1
선풍기,1
설거지,1
세련,1
세심,1
세트,1
소리,3
소파,1
속도,1
수거,1
수건,1
수압,1
수준,1
숙박,1
숙소,2
숙소갔더니ㅡ직원이,1
슬리퍼,1
시간,1
시설,2
시원,1
식기,1
식기류,3
식탁,2
실내,1
싸이렌,1
아담,1
아래,2
안내,1
안된다는점,1
안락,1
안하,1
앨리베이터가,1
약도,1
양식,1
얼룩,2
엉망,1
에어컨,1
여기,1
연락,2
열악,1
영수증,1
영화,1
옆방,2
예약,4
오후,2
올레티비,1
외부,1
요리,1
요청,1
용품,1
우리,1
위층,1
위치,2
유도,2
이색적,1
이야기,1
이외,1
이용,4
이해,1
인원,2
인테리어,3
입금,2
입력,2
있긴,1
자가용,2
자체,1
저희,1
전날,1
전달,1
전반적,1
전화,2
절대,1
절반,1
젓가락,2
정도,1
정리,1
정보,1
정성,1
제공,1
제해,1
조식,1
조악,1
주말,2
주방,1
주변,1
주차시설,1
주차요금,1
주차장,4
주차했는데,1
즐길수잇습니다,1
지불,1
직원,2
직원하는말은,1
쪼리,1
찬물,1
창문,1
찾아옴ㅠㅠ,1
청결,1
청결도,2
청소,3
체크아웃,3
체크인,2
최악,2
추가,5
취사,1
취약점,1
친절,1
침구,6
침구류,2
침대,1
침실,1
카페,1
커텐,1
크리넥스,1
택시,1
통화,1
통화한거니ㅡ그쪽에ㅡ다시,1
투베드룸,1
투숙객,2
티슈,1
팝업,1
페이지,1
펜션,1
포크,1
피곤,1
필요,1
하기,4
하나,4
하면,1
하수구,2
하지,2
해도,1
해먹,1
해서,3
허름,1
현금,3
호텔,2
화장실,7
화장지,1
환불,2
환불해달라고도,1
휴일,1
ㅜㅜ,1
ㅠㅠ,1
