text,frequency
"걸이	",1
"그것	",1
근처,1
금액,1
냉방시설,1
너머,1
다른곳에,1
다음,1
등뒤,1
따뜻,1
무서움,1
방음,1
방크,1
"보일러돌아갈때마다	",1
"분위기	",1
"불편	",1
"불편함	",1
"사진	",1
"샤워	",1
"세심	",1
"소음	",1
"수압	",1
"숙소	",2
"시설	",1
"시스템	",1
"식기	",1
"싫어질거	",1
"아무것	",1
"아침	",1
"에어콘	",1
"욕조	",1
"이것때문에	",1
"이별	",1
"이용	",3
"이진	",1
"자동차소음	",1
"잘들림	",1
"조식	",1
"주방용품	",1
"주위	",1
"주차	",1
"창문	",1
"찾으세요	",1
"철거지역	",1
"청결도	",1
"청소	",1
"최악	",3
"추웠습니딘	",1
"침대	",1
"컵3개외엔	",1
"키친	",1
"편의점	",1
"평수	",1
"필요	",1
"하기	",2
"한물	",1
"호텔	",2
"화장실	",2
"환경	",1
"효율적	",1
"휴지	",1
