text,frequency
000원으로인상됫는데,1
11,1
2500,1
30,1
3시35분되도,1
900,1
all,2
amanity,1
are,1
bad,1
be,1
better,1
but,1
cleaned,1
comment,1
good,1
have,1
if,1
improvemet,1
in,1
its,1
need,1
nothing,1
on,1
only,1
or,1
out,1
point,1
provide,1
single,1
slipper,1
smelly,1
SOSO,1
the,3
then,1
they,1
time,1
to,3
tv,2
usage,1
was,1
가격,2
가격대,2
가구,2
가능,2
가시는분들에게는,1
가운,2
가장,1
가족,1
가지,1
각종,1
개미,1
개선,2
개운,1
개인,1
객실,11
거리,2
거품,1
건조,1
걸레,1
경우,2
고객,1
고장,1
고장이,1
고정,1
고정이,1
곰팡이,3
공간,2
공영주차장,1
공지,2
관리,1
교육안받나봄,1
교체,3
구매,1
구비,1
국물,1
그렇긴,1
기간,2
기름,1
기분,1
기사,1
기억,2
까페,1
깨끗,2
끝방이어서,1
나이드신분들이,1
나중,1
난리,1
난방,1
날씨,1
냄새,7
냄새가났고,1
냉난방,1
냉장고,1
다른거,1
다섯객실을,1
다시씻어야할정도로,1
다양,1
다음번,1
다좋았지만,1
다치,1
담배,2
답답,2
당일,1
당황,1
도달,1
도로,1
도착,1
동주,1
드라이기,1
들이,3
따뜻,2
딱딱한침대,1
때문,2
로비,1
룸매니저가,1
룸서비스,1
룸어메니티가,1
룸청소도,1
리필,2
린스,1
마다,2
만실,1
만족,1
매니,2
매니저,1
매트리스,2
머리,3
머리빗,1
머리카락,1
먹을꺼없고,1
메뉴,1
메일,1
면도,1
모서리,1
모양,1
무료,1
문제,2
물병,1
물소리,1
바깥,1
바닥,3
바디워시,1
바람,1
바지,1
반급,1
발급,1
발냄새가너무낫다,1
방문,1
방배정못받아,1
방음,1
방제,1
방충망,1
방해,2
방향제,1
배게,1
배정,1
배치,2
번째,2
벤트리,1
벨브가,1
벽걸이형,1
벽사,1
변기,1
별도구입,1
보상,1
보수,1
본인,2
부담,1
부분,4
부실,3
부족,3
불편,13
불편함,1
뷔페,1
뷔페식,1
뷰가,1
블랙,1
비교,1
사람,4
사무실,2
사용,4
사전,1
사진,1
삼각형,1
상의,1
상황,1
상황싸지,1
새벽,1
새집,1
생각,2
샤워,10
샤워기,1
샤워를하고,1
샤워실,1
샤워커튼,2
샤워커튼때문,1
샴푸,1
서비스,1
서비스차원,1
선반,1
선택,1
성함,1
세면도구,1
세제,1
소리,2
소모품,1
소음,2
소홀,1
수건,3
수면,2
수압,1
숙박,1
숙박자,1
숙소,1
스프링,2
슬리퍼,3
시간,1
시설,3
시스템,1
시트,2
식당,1
식사,2
신경,1
신경써주시길,1
실내,1
실망,2
실수,1
실에,1
싱글,1
싼티,1
아쉬움,3
아이,1
아침,5
아토피,1
안나,1
안정감,1
안좋음,1
안터짐,1
암막커튼,1
양해,1
얘기,1
어깨,1
어려움,1
어른,1
어린이,1
어마어마,1
어메니티,1
얼룩,2
얼룩이,4
얼마,1
업그레이드,1
에어컨,1
에어콘,1
엘레베이터,1
엘리베이터,1
여행,1
역시,1
연휴,4
영업,1
옆건물뷰,1
예상,1
예약,7
오래,1
온도,1
온풍기,1
옷걸이,4
완벽,1
외풍,1
요구,1
요금,1
요청,2
욕실,5
욕실용품,1
욕조,3
우려먹어서,1
위치,2
윗방,1
유료,1
유료주차장,1
음식,2
응대,2
의외,1
이름,3
이미지,2
이바,1
이불,2
이야기,1
이용,3
이유,1
이해,2
인거,1
인사,1
인접,2
인터넷,1
인테리어,1
일환,1
일회용품,1
임의,1
입돌아가는줄,1
자리,2
자체,1
작동,1
작용,1
장식,1
재질,1
저가,1
저렴,3
적절,1
전기콘센트,1
전체,3
점검,2
정도,1
정책,1
제각각,1
제공,3
제품,1
제휴,1
제휴하,1
조식,7
조심,2
좁은공간,1
종류,1
주둥이,1
주변,1
주위,1
주차,3
주차공간,1
주차비,1
주차요금,1
주차장,6
중국인,1
중궈런들이,1
중앙,1
중앙난방,2
증후군,1
지불,1
지속,1
지저분,2
지하철,1
직원,9
짜증,1
찌꺼기,1
차량,1
차량이용,1
차장,1
창가,1
창문,2
처음,1
청결도,1
청결상태,2
청소,1
청소상태,1
체크,1
체크인,2
체크인3시인데,1
체킨시,1
최악,3
추가,2
추석,2
추천,1
출장지,1
충전,1
치솔,2
치약,5
치치,1
친절,4
침구,1
침대,6
칫솔,6
카드,2
카페트,1
카펫,1
커버,1
커텐,1
커튼,3
커피포트,1
택시,1
테이블,1
텔레비전,1
투숙객,1
트윈룸,1
틈새,1
티브이,1
퍼스트,1
편리,1
편의성,1
편의점,1
편이,1
푸쉬,1
프론트,2
프린팅,1
필요,3
하기,2
하나,1
하는거임,1
하니,1
하루,1
하루종일,1
하면,1
하지,4
하진,1
한게,1
한데,1
할인,1
해서,2
해주,2
해충,1
향이,1
허접,1
헬스장,1
협소,5
호스,1
호텔,8
호텔방,1
호흡기질환,1
화장실,2
화학약품,1
확인,3
환기,1
환풍구,1
회색빛,1
힘듦,1
ㅜㅜ,1
