text,frequency
0,1
10,1
28,1
3개정도,1
3인용,1
50,1
MJ,1
TV,1
가격,1
가격대,2
가관,1
가기,1
가까이,1
가능,2
가성비,1
가운,1
가족,1
각방,1
간보,1
객실,7
갯수,1
거의,1
건물,1
건조,1
건조기,1
걸레,1
겨울,1
계열사,1
고객,1
골목,1
곳곳,1
공간,1
공기,1
공지,1
과자,1
광화문광장,1
구멍,2
구비,1
그리고창밖풍경이런거없어요,1
그저,1
그정,1
금고,1
급성,1
기대감,1
기본,1
기본적,1
기준,1
깊은잠을,1
깔끔,1
깨끗,1
꼭지,1
나머지,1
나머진,1
나이,1
날씨,1
내부,2
내선,1
내일,1
냄새,7
냉동실,1
냉방,2
냉장고,2
너무잘쉬다왔습니다,1
네임벨류에,1
다른곳,1
다인,1
달라,1
답답,1
당황,1
대기시간,1
더웟서,1
데스크,2
동선,1
들이,2
때문,1
레스토랑,1
로또,1
로비,3
룸서비스,2
룸이진짜진짜좁아요,1
룸컨디션,1
리필,1
마감,1
마디,1
만족,1
많아서인지,1
말하,1
매니,1
머리카락,1
먼지,1
메뉴,1
모든게완벽,1
몰랐던걸꺼요,1
못잤네요,1
못잤습니다,1
문소리,1
문제,2
물소리,1
미흡,1
바깥,1
바닥,2
바람,1
방문,3
방안,1
방음,1
배스,1
배정,2
베개,1
벽지,1
보는내내,1
보송,1
복도,2
부담,1
부모님,1
부분,4
부스,1
부스러기,1
부족,2
부페,1
불량,1
불친절,1
불편,7
불편함,1
브런치,2
비닐,2
비많이맞았네요,1
비상용,1
비치,1
뿐이라는거,1
사용,5
사이즈,1
상비해둬야할거같습니다,1
상태,2
새벽,1
생각,1
샤워,2
샤워실,1
서비스,1
선풍기,1
성수기,1
세탁,1
소리,7
소형,1
속도,1
수건,7
수북,1
수월,1
수준,1
숙박,1
숙소,1
스위치,1
시간,2
시설,1
시원,2
시위,1
시트,1
신경,2
신라,2
신라스테이,2
신라호텔,2
실내,1
실내온도,2
실망,1
심미적,1
아베,1
아빠,1
아쉬웠어요ㅠㅠ,1
아이들,1
아침,2
안내,2
안대,1
안전,1
안좋은데,1
알러지때문에,1
알려줘야하는거,1
액자,1
얘기,1
얼굴,1
얼룩,1
얼룩이,1
엄마,1
없는거랑,1
엉망,1
에어컨,4
엑소,1
엘레베이터,1
엘리베이터,2
여기,1
여부,1
여자,1
연결,3
열고,1
옆방,2
예민,1
예약,2
온도,1
온풍기,1
와이파이,1
요청,2
욕실,2
운행,1
울어재끼고,1
윗층,1
음료,1
음식,1
응대,2
의자,1
의자끄는,1
이니셜,1
이미지,2
이불,1
이후,1
인사,1
인터넷,1
일반,1
일정,1
일처리,1
자리,1
자연,1
작동,1
잘못,1
잠금장치,1
잠깸,1
잠못잠,1
장충동,1
저녁,1
적합,1
전문,1
전반적,1
전혀안됨,1
전화,2
조식,7
조절,2
조정,1
조치,1
종로,1
종류,2
종이컵,1
좋은곳,1
주말,3
주변,2
주차장,2
중앙,1
중요,2
지독,1
지하,1
지하주차장,1
직원,5
짜증,1
창문,1
찾아보길,1
처음,1
청결,2
청소,7
청소상태,2
청소해달라했는데,1
체크아웃,1
체크인,4
출입구,1
친절,3
침구,3
침대,5
침실,1
커텐,1
커튼,2
커피,1
콘서트,1
콘센트,2
키즈카페온줄,1
타월,1
택시,1
테이블,1
통제,1
투숙객,1
판매,1
편의,1
포함,1
푹신,1
프런트,2
프론트,2
프리미엄,2
하기,1
하나,3
하니,1
하루,1
하면,1
하시,1
하신,1
하지,5
할인,1
해서,6
행사,1
향이,1
협소,1
형편,1
호텔,5
호텔급,1
호텔인이상,1
화장실,3
확인,1
환기,1
휴가,1
히스타민,1
ㅠㅠ,1
