text,frequency
12,1
200,1
2015,1
30,1
Bad,1
Bar,1
Bigger,1
Buffet,1
Extra,1
Frontdesk,1
Size,2
TMK,1
가격,5
가격대,2
가다,1
가성비,1
가입,2
가족,1
가지,1
감동,1
객실,7
거울,1
건조,1
결과,1
결제,1
경우,3
경쟁,1
고객,1
고층,1
공사,1
공연,1
공연을하면,1
과자,1
관리,1
관심을가져야할것같네요,1
교육,1
그것,1
그정,1
근처,1
기능,1
기대감,2
기대이하,2
기본적,1
기분,1
기분나쁘진,1
꿀잠,1
끊김현상으로,1
나도,1
나이,1
남산,1
남자,1
내부,1
냉장고,1
너무,1
노보텔에대한,2
놀긴,1
누군가가방을들어와서,1
다음,1
단조,1
대가,1
대비,2
대응,1
대체,1
대한,1
도심,1
동반,2
동안,1
들었지만납득이가지않은점,1
들이,4
등등,1
등록,2
때문,2
라운지,2
라운지때문에,1
라운지를끼고,1
레스토랑,1
렌즈가,1
로렌조,1
로비,3
룸서비스,1
룸컨디션과,1
마찬가지,1
마켓,2
만족,4
만큼,1
매니,1
매력,1
메리트,2
메이드,1
멘트,1
면적,1
명성,1
모뎀,1
목욕용품,1
못느꼇답니다,1
못먹었어요^ㅋ^ㅋ^ㅋ,1
무료,2
물품,1
미숙,1
반응,1
발렛,1
발렛파킹,1
방문,1
배게,1
배정,1
배치,1
번호,1
베드,1
별5개의노보텔에서,1
보상,1
복잡,1
복판,1
부분,1
부스,1
부스러기,1
부족,2
부페,2
분위기,2
불가능,2
불구,1
불량,1
불친절,2
불편,5
불편하긴해요,1
브랜드,1
블루투스,1
비즈니스,1
빌로레시,1
사라,1
사람,2
사무,1
사용,2
사우나,1
사전,2
상황,1
생각,1
샤워,1
서늘,1
서랍,1
서비스,5
서서,1
서울,1
선곡,1
성수기,1
세면대,1
셋팅된점,1
소란,1
소모품,1
소에,1
소음,1
손잡이,1
수영복,1
수영장,7
수준,1
숙박,2
숙소,1
순서,1
슬리퍼,1
시간,2
시내,1
시설,1
시스템,1
시장,1
식당,2
식사,1
신라호텔,1
신속,1
썬비치를,1
아기,1
아담,1
아쉬움,2
아웃,1
아이,2
아이와동반한다고미리,1
아주좋아요,3
안내,2
안느껴진,1
안좋았음,1
안함,1
야경,1
양하,1
얘기,1
어린아이,1
어수선,1
얼굴,2
업소,1
에비,1
엘리베이터,1
여직원,1
여타,1
연말,1
예약,3
오전,1
완료,1
완전,1
왼쪽,1
요구,1
요청,6
욕실,1
욕조,1
용하,1
우산,3
움직여주지않았던점,1
위치,2
위해,1
음료수,1
음식,4
음악,1
응대,1
이것,1
이박,1
이야기,1
이야기했지만방에,1
이용,1
이전,1
이후,1
인터넷,1
일반,1
있는날로,1
있었어요ㅠ,1
있을리가요,1
작동,1
잘못,1
재밌을거,1
전달,1
전문,2
전체,1
전혀통화가,1
접근,1
정도,1
정말,1
정비,1
정책,1
정확,1
제시,1
조건,1
조식,3
종류,3
주변,1
주변환경,1
주차,1
주차요원,1
주차장,1
중간,1
중이,1
지저분,1
지하,1
직원,10
직원들에대한,1
진입,1
진점,1
진짜,2
째즈,1
차례,1
창문,1
처리,2
청결,1
청소,1
청소상태,1
체크,2
체크아웃,6
체크인,6
최악,1
추정,1
출입,1
친구,1
친절,1
침대,2
커피잔,1
컬러,1
쿠키,1
클럽,2
키즈,1
키핑,1
탑승,1
텔레비젼,1
통하지않았던점,1
투숙,1
투숙객,2
트립,1
트윈,1
특급호텔,1
특별,1
티켓,1
판매,1
편차,1
포시즌스,2
포크,1
표정,1
프랑,1
프렌들리라고,1
프로모션,2
프론트,2
픽업,1
필요,3
하기,3
하나,4
하나씩,1
하시,1
하우스,1
한복판,1
한식이ㅡ대체로,1
한점,2
할인,1
해주,1
향도,1
향이,1
호실,1
호텔,9
혼잡,1
회원,3
휴가철,1
흠집,1
ㅜㅜ,1
ㅠㅠ,1
