text,frequency
^ㅋ,4
^ㅋ다음에,1
^ㅎ^ㅎ,1
^ㅎ^ㅎ^ㅎ^ㅎ,1
10,1
100,1
10분거리이긴한데,1
2박3일,1
3개씩있었어염,1
3인실로,1
4인가족,1
IPTV,1
Recommendation,1
TV,1
가게,1
가격,4
가격대,1
가고,1
가까이,1
가는길,1
가능,1
가볼려구염,1
가성비,6
가운도3개있고,1
가을,1
가족,2
각각,1
간단,1
감각,1
감사,2
개월,1
객실,5
거리,2
거의,1
건물,1
경복궁,3
경우,1
경치,1
계동,1
계란,1
고객,2
고궁,1
고요,1
공간,5
공기청정기,1
공사,1
공짜,1
공항,1
관광,1
관광객,1
관광지,2
광장시장,2
괜춘,1
교통과,1
구경,1
구비,2
구요,1
군더더기,1
굿굿,1
궁궐,2
궁투어,1
그것,1
그럼,1
그저,1
그치,1
근처,7
근처에잇어서,1
금하,1
급지,1
기대,3
기본,2
기억,2
기준,1
기회,2
깔끔,19
깔쌈한,1
깨끗,5
끝판왕,1
나라,1
나름,1
나머지,1
나중,1
남는점,1
남산,3
냉방,1
느낌,2
느낌이었어용,1
다양,1
다음,4
단점,1
당연,1
대만족,2
대비,2
대체,1
더스트,1
더울땐,1
덕분,1
도보,3
도착,2
도해,1
돈화문,2
동선,1
든든,2
들이,5
디쉬로,1
디자인,1
따뜻,1
레스토랑,2
로비,1
루프,20
루프탑너무,1
루프탑바,1
루프탑이좋음,1
룸서비스,1
리무진,1
리얼,1
마음,3
막창,1
만긱하기엔,1
만족,6
많은,1
맛나게먹음,1
맛있었어요^ㅋ^ㅋ^ㅋ^ㅋ^ㅋ,1
매력,2
매스,1
매트리스,2
맥주,2
몇명있었어염,1
모던,4
모두,1
모습,1
모텔,1
못갔는데,1
무난,1
무료,2
무엇,3
문닫는다,1
물품,2
뭐니뭐니,1
뭔가,1
바닥,1
바람,1
밤12시에,1
방문,1
방안,2
방음,1
버스,1
베드,1
벽돌,1
보고,1
복도,3
볼거리,1
부위,1
부족,1
북적,1
북촌한옥마을,1
분위기,8
분위기가좋음,1
분위기좋습니다,1
불편,1
뷔페식,1
뷰는,1
브런치,5
브렉퍼스트를,1
비교,1
비용,1
빵이랑소세지씨리얼후라이야채,1
사람,2
사이,1
상관없었어염^ㅋ,1
상태,1
상황,1
샐러드,1
생각,5
서비스,2
서울,4
설정,1
세탁,1
세탁세제,1
센스,2
소음도,1
소품,1
손님,1
수압,1
숙소,6
스태프,2
슬리퍼,1
시설,6
시원,1
식당,2
식사,8
실망,1
싱글로3개있어서,1
쌈지길,1
아늑,2
아담,1
아베,1
아이들,1
아주,2
아침,15
안나,1
안락,1
안마의자,2
안주,1
앞쪽,1
야경,2
어메니티,6
어줍잖은,1
엄두,1
업그레이드,3
에어컨,1
에이,1
엑스트라,1
여기,2
여름,2
여유,1
여진,1
여행,3
역시,1
연어,1
였어요,1
였으나,1
예약,3
예정,1
오믈렛,1
옥상,3
온돌,1
완벽,2
완전,3
외관,1
외국여행온것같은,1
외국인,3
우선,1
우수,1
우유,2
워치좋고,1
위치,19
으로,1
음식,4
음악,2
의사,1
의향,1
이구,1
이동하,2
이번,1
이상,2
이용,3
익선,2
인사,5
인상,2
인상깊었습니다,1
인천공항,1
인테리어,8
일반,2
일요일,1
일회용품,1
있구욤,1
있어염,1
있어욥,1
자기,1
자신,1
자잘,1
자전거빌려주는,1
자체,1
잠자리,5
잠잘때너무,1
장소,2
장점,3
재방문,1
저렴,3
저희,1
적당,1
적합,1
전망,3
전체,1
전체적으로깔끔하고,1
정도,2
정수기,2
정원,1
제공,4
조식,31
조용,1
종로,1
종로3가에서,1
종묘,2
좋아욤^ㅋ,1
좋은제품이,1
죄송,1
주문,2
주방,1
주변,2
주스,1
주위,1
주차,1
주차장,1
준비,2
중심,1
중이,1
지도,1
지하철,3
지하철역,1
직원,9
진짜,1
차없이가서,1
착한,1
창가,1
창경궁,5
창덕궁,15
창덕궁바로앞이고,1
채널,1
처음,1
청결,4
청계천,1
청소,2
청소상태,1
체크아웃,1
체크인,1
최강,1
최고,3
최신식,1
추천,1
추천드려용,1
출장,1
취소,1
취향,1
친구,1
친절,10
침구,4
침대,5
침대바로옆,1
카페,4
커플,1
커피,2
컨디션,1
컨셉,1
콘센트,1
쾌적,1
쾌활,1
퀄러티,1
퀄리티,1
크기,1
타워,3
테라스,2
투어,1
트렌디,1
트리풀룸으로,1
트리플묵었더니,1
트윈룸,1
티비,1
펀했어요,1
편리,4
편리함,1
편안,9
편의점,3
편집샵,1
편했어염,1
폐식,1
포함,2
푸짐,1
푹신,1
풍경,1
필요,1
하나,2
하니,1
하단,1
하면,1
하시,2
하지,2
한거,2
한국들어감,1
한데,1
합리적,1
해당,1
해서,3
해염,1
해주,1
해주셨어오,1
했어염,1
호스텔,2
호텔,14
화장실,1
훌륭,4
ㅠㅠ,2
