text,frequency
2종류,1
4가족,1
and,1
area,1
bts,1
clean,1
enough,1
Everything,1
here,1
highly,1
hotel,1
huge,1
kind,1
location,1
nice,1
perfect,1
Perpect,1
quiet,1
recommend,1
room,1
so,1
staff,1
Super,1
was,1
가격,2
가격대,4
가막,1
가방,1
가성비,1
가운데,1
가족,1
가족단위,1
가지,1
감사,2
객실,10
거리,5
걱정,1
건물,1
건조기,1
결정,1
겸용,1
경우,1
경험,1
계란후라이,1
계산,1
고급,1
골목,1
공간,1
관광,3
관광객,1
관리,1
광화문,1
구경,1
구경하,1
구비,1
구석,1
그릇,1
근처,1
기대,1
기분,1
기타,2
깔끔,9
깨끗,14
꿈나라,1
나름,1
남편,2
냄새,1
넉넉,1
넚어서,1
다음,3
담요,1
대비,1
더블룸,1
동반,2
들이,1
등등,1
따뜻,1
때문,1
로비,1
마루,1
마음,2
만족,6
맛집,1
맜있었어요,1
매너,1
매달,1
매시,1
메뉴,1
명동,2
모임,1
무엇,1
무지,1
문의,1
문화,1
미국,1
바닥,5
반신,1
방문,2
방음,3
배려,1
번거,2
베트남,1
별도,2
별루,1
보관,1
부대,1
분리,7
분위기,4
불과,1
뷔페,1
뷰에,1
비교,2
비치,1
빈공간,1
빨래,1
사용,1
사이,1
사진,1
샐러드,1
생각,4
샤워,1
샤워실,1
서비스,2
서울,2
설명,2
성격,1
세면실,1
세탁,1
세탁실,2
숙면,1
숙소,9
슬리퍼,1
시설,3
식당,1
식사,2
식사도맛있고친절했어요,1
신경,1
실내,2
싱가폴,1
써비스,1
썬비,1
썬비에,1
씻기도구도,1
아기,1
아늑,1
아닌점이,1
아담,1
아이,1
아이들,4
아침,5
안가,1
안국역,1
안내,1
안들,1
안락,2
안성마춤,1
안전,1
어디,1
엄청편했습니다,1
엘리베이터,1
엘베좋음,1
여유,1
여행,4
여행지,1
역과,1
예약,2
오전,1
오후,1
온돌,1
올란온,1
완벽,1
완전,1
외국인,1
요랑,1
요이,1
욕실,11
욕조,4
용품,1
우리,2
위치,16
음식,1
이동하,1
이라,1
이불,2
이용,4
이용객,1
이중,1
이후,1
인사,16
인사동,2
인상,1
인원,1
인접,2
일본,1
일회용,2
일회용품,1
입실,1
잠자리,7
장소,1
장점,1
저희,3
적당,1
전기,1
전시회,1
접근,1
접시,1
조금,1
조식,13
조심,1
조용,7
종각역,1
좋았던거,1
좋은위치에,1
주변,8
주차,1
주차장,1
지정,1
지하,2
지하철,1
직원,12
진심,1
진짜,1
차소리,1
청결,16
체크아웃,2
최고,5
최상,1
추가,1
추천,1
치약,1
친구,2
친절,17
침구,4
침대,8
침실,1
칫솔,1
카운터,1
카페,1
카페트,1
카펫,1
쾌적,3
토마토,1
투숙,1
트리플,1
특가,1
파스타,1
편리,3
편리함,1
편안,9
평일,1
포근,2
포테이토,1
폼클렌징,1
푸짐,1
푹신,1
풍성,1
하기,6
하러,1
하면,3
하시,4
하심,1
한실,2
한옥,1
해결,1
해서,7
해주,1
해주시,1
호주,1
호텔,12
화장실,10
확인,1
훌륭,1
휴식,1
