text,frequency
^ㅎ^ㅎ^ㅎ,1
100퍼,1
16,1
1스타,1
2017,1
24,1
25m가,1
28,1
2821,1
3곳정도,1
bar,2
charles,1
GYM,1
Jenny,1
market,1
The,1
TV,1
가게,1
가격,2
가격대,1
가끔와서,1
가능,1
가치,1
갈일,1
감동,2
감사,3
강북,1
강추합니다,1
개운,1
객실,11
거리,1
결함,1
경도,1
경북,1
고급,1
고급스러움,2
공간,3
공항버스,1
관광,1
광화문,2
교통도,1
구본,1
구비,1
궁금,1
그동안,1
그만큼,1
근처,1
금새,1
기념,2
기본적,1
기분,1
기준,1
기침,1
기프트,1
깔끔,4
깨끗,6
꿀잠,1
나무랄곳이,1
남산,3
내부,4
너무고급스럽고편했어요,1
노력,1
니스,1
다양,3
다운,1
다음,5
다이닝도,1
단언,1
당연,1
대응,1
더마켓키친,1
도보,1
도시,1
도어맨,1
도자기,1
도착,1
두말,1
들이,3
등등,1
디테일,4
따뜻,1
때문,1
라운지,5
럭셔리했습니다,1
레스토랑,2
레인,1
로비,1
룸다이닝,1
룸서비스,1
룸컨디션,3
룸컨디션도,1
룸컨디션이,1
마음,2
마지막,1
만족,9
매트리스,1
메뉴,1
메세지,1
메시지,1
몇안되는,1
모던,2
모든것이,2
모습,1
무료,1
무심,1
무엇,4
무제한,1
문의,1
미슐랭,1
바나나우유,1
발렛,2
발렛파킹,1
방문,3
방뷰가좋았어요,1
방음,1
방향제,1
배려,2
배치,1
번째,1
베딩도,1
베딩이,1
별도,1
복원,1
부산,1
분리,1
분명,1
분위기,3
불편,1
뷔페,2
뷰가,2
뷰는,1
뷰를,1
블라인드,1
빠른대응도,1
사양,1
사우나,1
사우나실,1
사진,2
사항,1
산책,1
상태,2
새벽,1
생각,4
샤워,2
샤워실,1
서비스,12
서울,8
서울호텔,1
서적,1
선택,1
설이,1
설치,1
세심,1
소음,1
소재,1
손수,1
쇼핑,1
수영,1
수영장,9
숙박,2
스낵,1
스태프,1
스파,1
스파존에,1
슬리퍼,1
습도,1
시간,2
시내,1
시설,6
식당,2
식사,1
신선,1
신축,1
실내,2
심신,1
아늑,1
아쉬움,1
아이,3
아이들,1
아이패드,3
아주좋아요,4
아주좋았습니다,1
안락,2
암막,2
야경,2
어메니티,1
어텐던트,1
얼굴,1
여유,1
여행,1
역사박물관,1
예약한편이라고생각했는데,1
예정,1
오렌지,1
오픈,1
온도,1
완벽,5
완전,2
외부,1
외식,1
요청,1
요청사항,1
욕실,4
용이,1
웰컴,3
위치,15
위치또한,1
위한,1
유유,1
유지,1
음료,1
음식,3
응대,1
의사,1
이그제큐티브,1
이용,2
이유,1
인상,1
인상깊습니다,1
인테리어,4
자동,1
자두,1
자체,3
작가,1
작품,1
잘되서,1
잠자리,6
장난감,1
장식장,1
장점,1
재방문,1
저녁,3
저렴,1
적극,1
적당,1
전경,1
전망,5
전체,2
정도,1
제공,1
조망,1
조식,9
조용,3
조절,1
종류,1
종류많고,1
주말,1
주변,2
주차,1
준비,1
쥬스,1
직원,24
진짜,2
짐시,1
차단,1
차량,1
찰스h,1
처음,1
청결,6
체크인,3
체형,1
초콜렛,1
최고,5
최고급,1
최고층,1
최근,1
최상,2
추천,4
친절,21
침구,9
침대,8
카우치,1
커튼,1
컨디션,3
케익,1
케잌,1
콜드,1
쾌적,2
쿠키,5
퀄리티,1
클럽,1
클리너,1
키즈,1
킹룸,1
타워,2
타임,1
탈의실,1
턴다운,1
턴다운서비스,1
토마스,1
투숙객,2
특급,1
특급호텔,2
파크하얏트보다,1
파킹,1
편리,3
편안,8
편의,1
편의점,1
포근,2
포시,1
포시즌스,4
포시즌호텔,1
포지션,1
폭염,1
푸드,1
푹신,1
피트,1
필요,1
하고,3
하구,1
하기,3
하나,1
하드웨어,1
하면,1
하시,1
하우스키핑,1
하지,1
핫푸드,1
해서,3
해주,1
해주시,1
햇살,2
향기,1
호실,1
호텔,18
화장실,2
활용,1
훌륭,4
휴가,2
휴식,3
ㅠㅠ,1
