text,frequency
10,1
1회용,1
2박했는데,1
2시간외출하고,1
30,2
at,1
beg,1
breakfast,2
do,1
egg,1
ever,1
have,1
hotel,1
ll,1
not,1
plz,1
scramble,1
this,1
worst,1
ya,1
가격대,2
가는길,1
가능,1
가동,1
가로등,1
가지,1
각방,1
간단,2
감하,1
값싼식재료를,1
개인용품,1
객실,1
거리,1
걱정,1
건의,1
건조,1
결제시,1
겸용,1
계란,1
고객,3
곰팡이,1
공간,1
공업,1
공장,1
광고,1
교통안내,1
교통편,1
구매,1
구비,1
구비된바디제품과,1
구입,1
구조,2
국내,1
국물,1
국은,1
그쪽,2
근거,1
근처,1
글코,1
기계,4
김치,1
깨끗,1
나이든아저씨,1
난방,3
난방기,1
낳을꺼라했다,1
냄새,2
냉동,1
냉방,1
냉장고,1
너무,1
녹차,1
느낌이랄까요,1
다른고객,1
다시,2
다양,1
다음날,1
단점,1
단체,1
담당,1
당황,2
대신,1
도보,1
도착,2
돈아까움,1
동안,1
두개,2
둘째,1
들었던거,1
들이,2
따뜻할꺼라고하여,1
라면,1
레스토랑,1
린스,1
마찬가지,1
마트,1
만족,2
많이아쉬웟어요,1
맛만보고,1
맛이없네요,1
맛이없는지,1
맞부딛혔어요,1
맞이,1
매우,2
머리카락,2
메뉴,2
메인,2
면도,2
모닝빵,1
모양,1
못잤어요,1
무관,1
무언가,1
무엇,1
문밖,1
문을열어,1
문의,2
문의를하니,1
문제,2
미흡,1
믹스커피,1
민원,1
밖에는^ㅋ^ㅋ^ㅋ,1
방문,1
방법,1
방사,1
방음,1
번화가,1
베개,2
벽면,1
벽치는,1
별루,1
복잡,1
볶음밥,1
부스,1
부실,1
부재료,1
부족,5
분내,1
분위기,1
불친절,1
불쾌,1
불편,10
불편함,1
붙어잇어,1
비정상적,1
사람,1
사먹는게,1
사용,3
삶은계란,1
상가,3
상인,1
새벽,1
생각,3
생수,1
샤워,4
샤워실,1
샴프,1
서비스,2
설비,1
세면대,1
세면도구,1
세척,1
소름,1
소리,2
소리때문에,1
소시지,1
소음,1
손님,1
쇼핑,1
수동,1
숙박,1
숙소,3
숟가락,1
술집,1
스크램블,1
시간,3
시설,1
시장,1
신분,1
실망,1
아무것,1
아쉬움,2
안나옴^ㅎ,1
안내,1
안먹느니만못함,1
안보,1
안해,1
애매,1
야간,1
양해,1
어느정도,1
어려움,1
어메너티가,1
어메니티,1
엉망,1
여성용품,1
여자,1
여행,1
여행객이많아,1
옛날,2
오른쪽,1
오전,1
와이프,1
와인잔,1
완전,1
왜그렇게,1
요구,1
욕실,5
욕실문,1
욕조,2
용량이너무작은샘플로만구비되어잇어서,1
용품,1
우리,2
우유,1
운영,1
위치,5
음료,1
음식,1
응대,1
의자,1
이곳,1
이번엔다른직원이,1
이불,1
이야기,1
이용,2
이유,1
이전,1
이젠따뜻할꺼라,1
이틀,1
이틀째,1
이해,2
인수인계,1
인원,1
입술,1
있는거,1
자동,1
자판기,2
작음,1
저녁,2
적어,1
전기,2
전망,1
전반적,1
전원,1
전철역,2
전화,3
전화문의,1
점화,1
정문,2
제공,1
제모,1
조금,2
조식,16
조절,1
조취,1
좁음,1
종로3가역,1
종류,1
주말,1
주변,7
주시,1
주의,1
주차,4
주차장,2
주차타워,1
주차했으나,1
지난번,1
지니어스혜택이,1
지름길,1
지배인,1
지불,2
지상,1
지역,1
지저분,1
지하철,1
지하철역,1
직원,5
진짜,1
질문,1
짐작,1
찬바람만나왔다,1
찬바람이나왔다,1
창문,1
철물,1
첫날,1
청계천,1
청소,7
청소상태,1
체구,1
체크아웃,1
최소,1
최소한,1
최악,1
최하품,1
추가,4
치안,1
치약,4
침구,3
침대,2
칫솔,5
카펫,1
커피,1
콘센트,1
큰마트가,1
타일,1
택시,2
트리플,1
특별,1
판매,2
편안,1
편의점,5
편한,1
포트,1
폼클렌징같은걸,1
폼클렌징놔두셨으면좋겠어요,1
표시,1
풍경,1
프런트,1
하나,3
하면된다,1
하시,1
하자,1
하지,1
하진,1
한국,1
한명,1
한잔,1
핫도그,1
해서,4
해외,1
해장국,2
허술,1
헬스클럽,1
현장,1
협소,1
혜택,1
호텔,8
호텔바로근처나,1
화장실,9
활동,1
후기,1
후문,1
흔적,1
흰빵밖에,1
히터,1
