text,frequency
^ㅎ,1
^ㅎ^ㅎ우리애기만놀았어요,1
10,1
15년정도,1
19,1
21,1
2인실,1
30,1
room,1
TV,1
가격,1
가구,1
가운,1
가정,1
가족,3
가지,1
가짓수,1
가치,1
감수,1
갑을,1
강추,1
개방시기,1
개인,1
객실,7
건물,3
결과,1
결제,1
경로,1
경복궁,1
경우,1
경찰,1
경험,2
계속잇었어요,1
고민,1
곤란,2
곰팡내,1
공간,4
공항,2
관리,3
관리하,1
광화문,1
교체,1
교환,1
구두,1
구매,1
구석,2
구조,2
규모,1
그것,2
그뒤에전화해서,1
그릇,1
그치,1
깨끗,1
나름,1
나름편한,1
나머지,1
날씨,1
내부,1
냄새,3
너무,1
너무비쌌어요ㅜㅜ,1
너무차가워서,1
넓고예쁜,1
넘아쉬워요,1
넘작고,1
노후,1
노후화,1
누락,1
다른점은,1
다양,2
다인실,1
다좋음,1
다행,1
단위,1
당구대,1
당연히등록되어있을거라고생각하고나가는데주차정산하라고,1
당황,2
대로,1
대비,1
더러운느낌,1
더블,1
도난,1
도시,1
도시락,1
도제,1
동반,1
동안,2
뒤에차는밀리고,1
들어갈수가없엇어요ㅜㅜ,1
들이,1
등록,1
등장,1
루프,1
마음,1
만족,1
맞은편,1
매우,3
머리카락,1
머신,1
메뉴,1
메이드,1
명절,2
목걸이,2
몰려서인지,1
무례,1
무표정,2
문제,3
물건,1
물놀이,1
미소,1
미흡,2
믾이,1
바닥,2
방구,1
방문,2
배정,4
번째,1
베딩이,1
베이컨,1
변명,1
보관,1
보석,1
부분,1
부실,1
분노,1
분실,1
분실물,1
분위기,1
불만,1
불쾌,3
불편,5
불편함,2
붙여논,1
비누,1
비데,2
비치,1
비품,1
빈자리,1
빼먹어서,1
사람,3
사무실,1
사용,1
사이트,1
상승,1
상주,1
상품,1
상품권,1
상한,1
생각,4
샤워,2
샴푸,1
서비스,3
서울,1
섬유유연제,1
성수기,1
성의,1
세계,1
세척,1
세탁,2
세탁용,1
세트,1
소리,1
소음,1
소파,1
속상,1
손님,2
수건,1
수영,2
수영장,11
수영장너무작아요,1
수온,1
수용,1
수준,3
수질관리,1
숙박,1
숙소,3
스프링,1
시간,2
시설,6
시어머님,1
식당,3
식사,3
신경,1
신고,2
실외,1
실외수영장,1
쌍둥이,1
아기,1
아들,1
아침,5
악세사리,1
안내,3
안닫혀서,1
안보,1
애용,1
애장품,3
야외,1
양해부탁드려후진해서겨우빠져나왔네요,1
얘기,1
어서,1
엄마,2
엄마들이잘안왔나봐요,1
업그레이드,1
업글,1
없어용,1
없었던점,1
없읔,1
엉망,1
에어컨,2
여름,1
여유,1
여행,1
여행객,1
연락,1
연휴,1
예술가,1
예약,3
예약이확인되지않는다고그러더니,1
오래,2
옥상,3
온도,1
와이파이,1
와있는거,1
요금,1
요청,2
욕실,2
욕실문,1
욕조,2
음료수,1
음식,3
의심,1
이것,1
이담,1
이동하,1
이동해,1
이별,1
이불,1
이상,1
이용,2
이전,1
이후,1
인근,1
인사,2
입구,1
입장,1
자리,2
자쿠지에만,1
작동,1
작아요ㅜㅜ진짜너무아쉬운부분이에요,1
작품,1
장기,1
장소,1
장시간,1
저것,1
저희,1
적합,1
전망,2
전반적,1
전체,1
점들,1
접시,1
정도,1
제외,1
조가,1
조명,1
조사,1
조식,17
종로,1
종류,1
좋긴한데,1
좋을거,1
주기적,1
주변,1
주차,1
지불,1
지붕,1
지수,1
직원,10
진행,1
창문,1
창밖,1
찾기위해,1
채워지길,1
책임,2
처리는받긴했는데,1
첫날,1
청결,1
청결하지않아보이는탓에,1
청소,7
체육시설,1
체크인,1
최소,1
추가,1
추억,1
취소,1
층간,1
치솔,1
치약,3
친구,2
친절,2
친절하셨던거,1
침대,5
칫솔,2
카페,1
커튼,2
커피,2
콤콤한,1
크기,2
큰물,1
키즈룸이잇어서,1
태도,2
테이블,1
통보,1
투숙,2
투숙객,1
트리스,1
트윈,1
특별,1
티비,1
파티,1
판매,1
패키지,1
편의점,1
평범,1
포함,3
프론트,1
필요,1
하거,1
하기,2
하나,3
하루,2
하면,3
하지,6
한게,1
해서,2
해주,4
허리끈,1
허술,1
협소,1
형태,1
형편,1
호텔,8
화장,1
화장대,1
화장실,4
황당,1
회수,1
휴가철인지다시에약이안되어아쉬웠어요,1
흡연,1
ㅠㅠ,1
