text,frequency
^ㅋ,1
10,1
100,1
13,1
1롤만,1
22시까지인점,1
24,1
2롤이상이었기,1
3룸이라고,1
3인실인데,1
40,1
4명오면,1
4베드룸,1
4베드룸을,1
4인실,1
4인실로,1
50,1
Desk,2
Front,2
Lobby,1
가격,1
가능,2
가득,1
가운,2
가조,1
가족,1
가지,1
가짓수,2
간단,1
감기,1
개별,1
개선,2
객실,2
갱신,1
거기,1
거로,1
걱정,1
걸렸습니다ㅠ,1
겨울되면진짜춥겠슴,1
경악,1
고객,1
고정,1
공간,1
공기청정기,1
공식,1
관리,2
관리하,1
구내,1
구비,1
구조,1
군데,1
궁중떡볶이,1
그것,1
그닥아쉬웠던점은없었어요,1
그때,2
그릇,1
그방이,1
근처,1
금번,1
금연,1
기대,2
기대이하,1
기본,1
기분,1
기분나쁘진,1
기타,2
김치,1
꿀꿀한,1
나중,1
난감,1
난방,3
날씨,1
남아,1
남자,3
낫띵,1
내국인,1
냄새,10
냉방,1
냉탕,1
넉넉,1
노력,1
노숙자,1
다떨어지더라구요,1
다시했어요,1
다양,1
다음날,1
단열및난방에신경을쓰셔야,1
담배콩초,1
당연,1
당황,2
대부분,1
대응하는점이,1
더블,1
데리,1
데일,1
도로,1
도착,1
동행,2
두명분밖에,1
들이,2
때문,1
라커가,2
라커를,1
로비,1
리셉션,1
리필,1
마다,1
마때,1
마트,1
만족,2
매니,1
머리핀,1
먹을거,1
메뉴,4
면도,1
면도기,1
못들어가는게,1
무료,2
무시,1
문구,2
문제,1
물놀이용품,1
물품,1
뭉치,1
뭔진,1
미스,1
바꿔달라고,1
반려동물,2
밥종,1
방문,3
방청소,1
배우자,1
밴드,1
번거로움,1
번째,1
베드,2
별도,2
병원,1
보증금,1
볶음밥,1
부분,5
부실,1
부족,2
부족한느낌,1
분위기,1
불구,1
불량,1
불만족,1
불쾌,2
불편,7
불편함,1
뷔페,1
비누,1
비치,1
빨래,1
사람,2
사용,2
사우나,3
사이즈,1
사항,2
상식,1
상의,1
상판,1
상품,1
새벽,2
생각,4
생수,1
샤워,1
서비스,4
설정,1
성능,1
성수기,1
성인,3
성인3명이,1
세면도구,1
세미,1
세심,1
세제,1
소독약,1
소문,1
소음,1
소통,1
손가는게,1
수건,1
수영장,9
숙박,5
숙소가춥다,1
슈퍼,1
스텝,1
슬리퍼,2
습기,1
시간,3
시설,3
시스템,1
식당,2
식사,1
신청,1
실망ㅠ,1
싱글,2
싱크대,1
아기,2
아들,1
아쉬운거,1
아쉬움,3
아쉬웠습니,1
아이,4
아이들,1
아주머니,1
아줌,1
아침,3
악취,1
안내,3
안방,2
안전,1
안지워지는지,1
안타가웠습니다,1
안하,1
안해,1
애매,1
약간,1
얘기,2
어른,1
어린이,1
어머님,1
어메너티를,1
어메니티,1
어메이,1
어수선,1
얼굴,1
얼룩이,1
업그레이드,1
에어컨,1
에어콘,1
엑스트라,1
엘레베이터,1
여기,1
여름,1
여자,1
여탕,2
영향,1
예약,5
오해,1
오후,1
온도,1
올해,1
옷갈아,1
와이파이,4
완벽,2
외부,1
요구,2
요금,3
요천했던,1
요청,2
욕실,4
우리들,1
우풍,1
운건,1
운영,1
원인,1
유념,1
유료,1
음식,4
음식물쓰레기,1
응대,2
이거,1
이동,2
이동하,1
이브자리,1
이상,1
이심,1
이용,6
이용객,1
이웃,1
이유,1
이전,1
이하,1
이해,1
인사,1
인원,1
일방통행,1
일치,1
입구,1
입는곳이,1
자기,1
자차,1
자체,1
작동,1
작은방,1
잠궈두고,1
잠자리,1
재떨이,1
저렴하긴,1
저희,2
적당,1
전반적,1
전화,2
정도,3
정보,3
제공,3
조식,24
조절,1
좋을거,1
좋을거같아요,1
좋치가,1
주변,2
주의,1
주차,2
주차장,2
준비,1
중앙난방,2
중앙난방식,1
지저분,1
직원,7
직원들교육도,1
청결,1
청구,1
청소,3
청소상태,1
체크,1
체크아웃,2
체크인,5
초가을,1
초등생,1
초등학생,1
최고,1
최소,1
최악,1
추가,6
추가비,1
추가비용,1
추천,1
출입,1
충격,1
충분,1
치솔,1
치약,2
친절,3
침구,1
침대,3
칫솔,1
카드,1
카운터,1
컴플레인,1
클린,1
타기,1
탈의실,2
투숙객,2
퉁명,1
특유,1
패스워드,1
편의시설,1
포쪽,1
포함,1
프런트,2
프론트,3
필요,2
하나,3
하니,1
하면,1
하수구,2
하시,1
하우스키핑,1
하지,6
한데,1
한식,2
한집,1
해서,5
해주,1
허락,1
허점,1
헤드,1
형식,1
호텔,10
홈페이지,1
홈피,2
화장실,6
확인,1
확인요망,1
휴일,1
휴지,3
히터,1
ㅜㅜ,1
