text,frequency
^ㅎ^ㅎ,1
901,1
IPTV,1
가격,2
가구,1
가능,1
가성비,1
가운,1
가지,1
간단,1
갈일,1
개선점,1
객실,7
갯수,1
거리,2
거북할정도,1
거실,1
걱정,1
건물,1
건조,1
걸치기,1
게스트하우스,1
경험,1
고객,1
고기,1
고생,1
곰팡이,5
공간,1
공사,1
과거,1
관리,1
교체,1
교통도,1
구매,1
구석,2
구석진곳,1
구조,1
국내,1
그에비해,1
근처,1
글구,1
기본,1
기분,1
깨끗,1
나머지,1
나무,1
나이트가운,1
날파리,1
낡은점이,1
남자,1
내부,1
냄새,5
넓기는한데,1
넘별루고,1
다른곳에서,1
다양,1
다음,1
다행,1
담당,1
담배,2
답변,2
대기시간,1
대학,1
대한민국,1
데스크,1
도착,1
동남아,1
동료,1
둘째,1
들이,2
때문,1
라마다,1
레지던스,1
룸키를,1
리모컨,1
마다,1
마주,1
많이나서,1
매트,1
매트리스,1
매하,1
머리카락,3
머리칼,1
메뉴,1
면도,1
모텔,2
목욕,2
무결,1
문제,1
뭍어있었음,1
믿겨지지,1
바닥,3
반응,1
발생,2
방문,1
방법,1
방음,1
배수,1
배수구,1
배터리,1
번거로움,1
벌레,1
베개,1
베인,1
변기,4
별도,1
별로였어요ㅠ,1
보수,1
보통,1
볼일보는데,1
부분,1
부스,1
부족,3
부킹닷컴으로,1
부킹닷컴혜택에,1
불가능,1
불괘함,1
불구,1
불친절,1
불쾌,1
불편,4
뷔페,1
비닐봉투,1
비데,1
비즈니스,1
빠게트,1
사설,1
사실,1
사용,1
사이,1
삼십,1
삼청동,1
상가,1
상당,1
상태,5
상황,1
샌드위치,1
생각,4
샤워,5
샤워실,2
샤유브스안에,1
샴푸,1
서비스,2
서울,1
선택,1
세면기,1
세면대,1
세탁,1
센서등,1
소리,3
손님,1
수건,3
수준,1
숙소,1
스위트룸,1
스타벅스,1
스타일,1
슬리퍼,1
시간,2
시설,3
시정,1
식당,2
식빵,1
식사,5
신경,3
실망,2
실속,1
쓰기,1
아쉬움,1
아이,2
아이들,1
아침,4
아파트,1
안되던점,1
안락,1
안빠져서,1
안빠지고,1
안쓴듯,1
앞전,1
애매,1
양변기,1
어려움,1
어른,1
어메니티,1
업그레이드해줬다는데,1
엉덩방아,1
에어컨,1
엘베이용시,1
여름,1
여행,2
였어요,1
영화,1
옆방,1
예약,5
예전,3
온라인쇼핑,1
올드,1
옷장,1
와이파이,1
외관,1
외부,1
외출,1
요청,3
욕실,7
욕조,3
용변,1
위치,2
유료,1
융통성,1
음식,1
응대,1
이동하,1
이물질,1
이야기,1
이용,1
이용객,2
익숙,1
인사,1
일박,1
자리,2
자체,2
작동,1
잘안내려갈,1
잡아타기힘든곳이었다,1
장소,1
적절,1
전반적,1
전철역,1
전체,1
전화,3
정도,2
정리,1
제공,5
조식,10
종로,1
좋았던이미지가,1
좋진,2
주위,1
주차,2
주차장,2
지급,1
지난해,1
지니어스,1
지방,1
지하철역,1
직원,4
짐찾으랴,1
찜찜,1
창가,1
창밖,1
철렁,1
철저,1
첫인상,1
첫째,1
청결,3
청결도,2
청결상태,1
청소,4
청소상태,1
체모,1
체크인,4
추가비용,2
치솔,3
치약,4
친절,1
침구,2
침대,2
침대시트,2
칫솔,5
카펫,1
커텐,1
커튼,2
커피,1
콘센트,1
큼큼,1
타올,1
타월,2
타일,1
택시,2
테크,1
투자하,1
패밀리,1
페브리즈,1
포함,1
폭우,1
프론트,2
하나,2
하면,1
하수구,1
하지,3
하진,1
한적,1
한지,1
합니다ㅠ,1
해결,2
해놔서,1
해서,3
향이,1
호텔,8
화장실,8
환경,1
환기,1
환승,1
회색,1
회색빛,1
회원,1
휴대폰,1
