text,frequency
6th,1
DAISO,1
DDP,1
floor,1
kithen,1
near,1
on,1
Power,1
restaurants,1
Sharing,1
subway,1
Super,1
water,1
가격,7
가격대,3
가성비,1
거래,2
걱정,1
겨울에묵긴좋음,1
결함,1
공동,1
교통용,1
구경,1
구비,1
근처,1
기대,1
깔끔,4
깨끗,4
나머지,1
난방,1
내부,1
냄새,1
다니,1
다음,1
다이소,1
담배,1
대만족,1
동대문,4
동대문시장,1
동묘,1
드라이기,1
디디피,1
또갈꺼에요,1
로비,1
리모델링,1
린스,1
만족,2
매우좋았어요,1
모텔,2
무엇,2
바닥땃땃,1
바디워시,1
방문,1
방음,1
볼일,1
부담,1
부분,1
부족,1
새벽,1
생각,3
샴푸,1
수압,2
수압쎈것,1
숙박,2
숙소,3
시장,1
식당,1
아주,1
아주가까워요,1
안나,1
업무,1
완전,1
요청,1
욕실,1
위치,5
이위,1
이하,1
이해,1
일하,1
잠잘잤어요,1
쟈철,1
저렴,4
적합,1
전반적,2
전철역,1
정도,1
정말,2
제공,1
조식,1
조용,1
좋았습니,1
주방,1
주변,1
짐보관서비스,1
차이,1
청결,1
체크아웃,1
체크인,1
최고,2
최적화,1
추천,1
친절,3
침대,2
칫솔,1
컨디션,1
쾌적,1
편안,1
포함,1
필요,1
하나,2
하니,2
한곳,1
해서,2
화장실,1
환경,1
회사,1
힘좋음,1
