text,frequency
10,1
1인당,1
2인용만,1
3인용으로,2
5000,1
all,1
alley,1
almost,1
and,1
are,3
as,2
boiled,1
bread,1
breakfast,2
Breakfast,1
But,1
check,1
coffee,1
delicious,2
Difficult,1
early,1
eat,1
egg,1
find,3
food,1
fruites,1
fun,1
ham,1
Have,1
hotel,1
If,3
in,2
is,1
it,3
It,1
Japanese,1
Jongro,1
juice,1
just,1
key,1
Korea,1
Korean,1
light,1
little,1
location,1
many,1
may,2
Maybe,1
menus,1
Miso,1
near,2
not,1
of,2
price,1
recommand,1
remember,1
restaurant,1
retaurants,1
rice,1
salad,1
sereal,1
similar,1
so,1
some,1
soso,1
soup,2
soy,2
strongly,1
such,1
that,3
the,3
then,1
there,1
There,1
to,2
traditional,1
try,1
two,2
types,2
vegetarian,2
want,1
was,2
were,1
with,3
won,1
word,1
you,5
가격,1
가기,1
가족,1
각자,1
개인용품,1
거리,2
걱정,1
건물,1
건조,1
것보단,1
경우,1
계란,1
골목,6
공간,1
공기,1
공장,1
과일,3
교체,1
그거,1
그거감안하면,1
근처,1
기만,1
기분나쁜일이,1
기준,1
기침,1
끈적,1
나라,1
난방,2
남자,1
남자들,1
냄새,1
네이버,1
다음,3
담배,1
대부분,1
대비,1
데스크,1
된장찌개,1
둘이,1
들이,2
따뜻,1
때문,1
떨어질까봐,1
라디에이터,2
레스토랑,1
로비,1
리모컨,1
마다,1
만족,1
맛집,2
매우,1
매트리스,1
먹음,1
모닝빵,1
모텔,1
못먹었습나다,1
문제,2
뭔가,1
바깥,1
발견,1
밤거리,1
밤길,1
방음,1
방해,2
복도,1
복잡,1
볶음밥,1
부실,1
불량,1
불친절,2
불쾌,1
불편,3
비데,1
사과,1
사람들,1
사브,1
사용,1
사항,1
상태,2
새벽,1
샐러드,2
생각,1
샤워,2
서비스,1
섭섭,1
성의,1
세척,1
세트,1
소란,1
소리,4
소리때문에,1
소스,1
손님,1
수면,1
숙면,1
숙박,1
술주정뱅이,1
시간,2
시설,1
식빵,1
식사,2
싶었구,1
싶을정도로,1
아기,1
아래,1
아쉬움,1
아이,1
아침,1
안내,2
안보,2
안빠졌어요,1
안전,1
안좋겠지만,1
야채,1
양상,1
얘기,2
어려움,1
어린아이,1
얼룩진곳들이,1
없는거,1
여기,1
여성,1
여자,3
여행,5
연결,1
열악,1
옆방,1
예약,3
예의,1
올땐,1
완전,1
외국,1
외풍,1
요구,1
욕실,2
욕조,1
우범지대,1
위치,6
위험,1
으슥,1
음료,1
의미,1
의외,1
이상,1
이용,3
이해,1
인근,1
일본,1
일본인,1
입구,1
있었다는거,1
자려,1
자체,1
작하,1
장점,1
저녁,1
전선,1
전화,1
접시,1
정도,1
정문,1
제공,1
조식,17
조식빼고,1
종로,2
종류,1
종이컵,2
주말,1
주변,3
주셨긴,1
주위,1
주의,1
주차,2
주차공간,1
주차비,1
주차시설,1
중간,1
지대,1
지도,2
지연,1
지하철역,1
직원,2
참고,1
창문,1
채식주의,1
처음,2
청결상태,1
청계천,4
청소,3
체크인,3
초행,1
추가,1
층수,1
치안,1
친절,1
침구,3
침대,3
커텐,1
컵라면,2
큰길,1
타고,1
타월,2
택시,1
토마토,3
통합,1
투숙객,1
티비,2
파리,1
파이프,1
판단,1
편의점,1
풍경,1
프런트,1
프리,1
피곤,1
하기,2
하나,3
하루,1
하지,2
하차,1
한거,1
한국,1
한번씩,1
해서,2
헤메었습니다,1
호텔,5
화장실,1
환경,1
ㅠㅠ,1
