text,frequency
^ㅎ^ㅎ,2
10,2
20,1
가격,2
가능,1
가림막,1
가성비,1
가족,1
같진,1
개미,2
개선,2
개수대,1
개조,1
객실,6
건물,2
게스트하우스,1
겨울,1
경우,1
계속,1
고생,1
고장이,1
골조,1
곰팡이,1
공기,1
괜찮을거같아,1
구석,2
구스,2
그것,3
글쎄,1
금액,1
기대,2
기분,2
기침,1
꽂는곳이,1
난방,2
날씨,2
내부,2
냄새,2
냉방,1
냉장고,2
너무,3
다리아팟음,1
다양,1
다음,1
단열,1
단점,1
답답,3
대가,3
대부분,1
대비,1
동안,1
드라이기,1
들이,1
때문,1
띠끄,1
려고,1
루프,12
루프탑때문에,3
루프탑바,1
루프탑바를,1
리모컨,1
마리,3
마실,1
마음,3
마지막,1
많아서인지,1
많이멀어서,1
맛나긴한데,1
매우,5
맥주,2
메리트,1
모텔,1
모텔급,1
못한점이,1
무난,1
무렵,1
문밖,1
문제,2
바닥,2
바람,1
바퀴벌레,2
반복,1
밤새,1
방음,6
번째,1
변기,1
복도,1
부분,1
부페,1
불편,9
붉은개미,3
뷔페식,1
뷰가,1
비누,1
비슷,1
사고,1
사이,1
사이즈,1
사진,1
새벽,1
생각,2
샤워,4
샤워실,2
샤워커튼,1
서비스,1
서운,1
소음,1
수건,1
수건걸이,1
숙박,2
숙소,4
슬리퍼,1
습기,1
습하긴,1
시간,2
시간쯤,1
시설,2
시트,1
식당,1
신경,1
신뢰도,1
신발이,1
실망,2
심각,1
아무것,1
아이스크림,1
아침,3
안내,1
안된점,1
안좋았어요,1
애매,1
야경,1
약간,2
얼룩,1
업소,1
에어컨,4
연인,1
옆방,1
옆벽,1
예상,1
예약,4
오픈,1
온도,3
와인,1
와인잔,1
완벽,1
왕복,1
외국인,1
요금,1
욕실,4
운영,1
위치,3
유리,1
유쾌,1
음료,2
음식,1
의사,1
의자,1
이불,3
이상,2
이용,7
인근,1
인기,1
작동,4
잡음,1
재방문,1
전망,1
전선,1
전용,2
전화,3
전화연결,1
절대적,1
점수,1
점이,1
정갈,1
정도,2
조금안좋은거같습니다,1
조식,8
조작,2
조절,3
좋을거,1
주문,3
주방,1
주변,1
주차,1
주차공간,1
주차시설,1
주차장,3
지하철,1
지하철역,2
직원,4
차원,1
창틀,1
청결,3
청소,2
출현,2
충격,1
취소,1
친구,1
친절,2
침대,2
칸막이,1
켜고를,1
콘센트,1
클로즈시간을,1
테라스,1
토스트,1
투숙객,1
판매,1
포기,1
프런트,1
필요,1
하려,1
하지,3
할인,1
함정,1
해서,2
해주,1
허술,1
호텔,2
화장,3
화장실,7
환기,1
휴지,1
힘들었어요ㅜ^ㅋ^ㅋ,1
ㅜㅜ,2
ㅠㅜ,1
ㅠㅠ,2
